
Dahn Yoga,www.6137618000.yp.ca,,613-761-8000,1419 Carling Avenue,Ottawa,ON ,K1Z 7L6,yoga
Pranashanti Yoga Centre,www.pranashanti.com,info@pranashanti.com,613-761-9642,52 Armstrong Street,Ottawa,ON ,K1Y 2V7,yoga
Windhorse Yoga,www.6137989642.yp.ca,,613-798-9642,1338 1/2 Wellington Street West,Ottawa,ON ,K1Y 3B7,yoga
Riverside South Chiropractic Centre,www.6138222228.yp.ca,,613-822-2228,665 Earl Armstrong Road,Gloucester,ON ,K1V 2G2,yoga
Mountain Goat Yoga Centre,www.6138233949.yp.ca,,613-823-3949,3350 Fallowfield Rd,Nepean,ON ,Q7Q 7Q7,yoga
Lotus Blossom Yoga,www.lotusblossomyoga.ca,,613-836-0035,1541-D Stittsville Main,Stittsville,ON ,Q7Q 7Q7,yoga
In Balance Chiropractic & Health Centre,www.inbalancechiro.ca,,613-837-8885,2034 St Joseph Boulevard,Orleans,ON ,K1C 1E6,yoga
Hip Joint,www.6139251969.yp.ca,,613-925-1969,26 Apple Street,Brockville,ON ,K6V 4X8,yoga
Sat Nam Yoga Centre,www.6139309314.yp.ca,,613-930-9314,333 Pitt Street,Cornwall,ON ,K6J 3R1,yoga
Family Life Health Centre,www.6139668091.yp.ca,,613-966-8091,415 Bridge Street East,Belleville,ON ,K8N 1P7,yoga
Right Angle Yoga-Lisa Schwartz,www.6139674253.yp.ca,lschwartz@bellnet.ca,613-967-4253,140 George Street,Belleville,ON ,K8N 3H2,yoga
Dr Sonal's Auyrevedic Herbal Remedies Centre,www.ayurvedafortotalhealth.com,,647-283-9070,483A Lawrence Avenue West,North York,ON ,M5M 1C6,yoga
Steadfast Physiotherapy,www.steadfastrehab.com,,647-349-5002,2916 Dufferin Street,North York,ON ,M6B 3S8,yoga
Thirupathisivam Yoga,www.6474354925.yp.ca,,647-435-4925,3895 Lawrence Avenue East,Scarborough,ON ,M1G 3T3,yoga
1 Vitality Yoga Pilates - Free Class,www.6478324799.yp.ca,,647-832-4799,13439 Trafalgar Road,Georgetown,ON ,L7G 4S4,yoga
Treadmill Factory,www.7052430002.yp.ca,,705-243-0002,709 The Parkway,Peterborough,ON ,K9J 6W4,yoga
Yoga Plus,www.7052941228.yp.ca,,705-294-1228,1981 Emerald Court A,Innisfil,ON ,L9S 2A2,yoga
Elmhirst's Resort,www.elmhirst.com,,705-295-4591,RR 1,Keene,ON ,K0L 2G0,yoga
Inspiration Yoga Studio,www.7053314497.yp.ca,,705-331-4497,25 Mississaga Street East,Orillia,ON ,L3V 1V4,yoga
Yoga Plus,www.7054316450.yp.ca,,705-431-6450,1981 Emerald Ct,Stroud,ON ,L0L 1W0,yoga
Quench Fitness,www.7054344200.yp.ca,,705-434-4200,169 Dufferin S,Alliston,ON ,L9R 1E6,yoga
Yoga With Peggy,www.7054359749.yp.ca,,705-435-9749,180 Parsons Rd,Alliston,ON ,L9R 1E8,yoga
Buddha rider,www.7054442266.yp.ca,,705-444-2266,136 Saint Paul Street,Collingwood,ON ,L9Y 3P2,yoga
Empire Living Centre,www.retirementlivingcentres.com,,705-474-9555,425 Fraser Street,North Bay,ON ,P1B 3X1,yoga
The Next Step Fitness Center,www.7054750724.yp.ca,,705-475-0724,361 Main Street East,North Bay,ON ,P1B 9M2,yoga
Vinyasa Yoga Studio,www.7054989642.yp.ca,,705-498-9642,1180 Cassells,North Bay,ON ,P1A 2K2,yoga
Huronia Massage Therapy Clinic,www.7055279317.yp.ca,,705-527-9317,Huronia Medical Centre,Midland,ON ,L4R 1T1,yoga
Active Turtle,www.7056410513.yp.ca,,705-641-0513,1009 Burgess Ave,Bala,ON ,P0C 1A0,yoga
Radiance Release Your Inner Potential,www.7056470011.yp.ca,,705-647-0011,15 Mary St S,New Liskeard,ON ,P0J 1P0,yoga
Active Options,www.activeoptions.net,,705-647-3048,475 Grills St,New Liskeard,ON,,yoga
Stage & Street Dance & Theatrical Supplies,www.7056737973.yp.ca,,705-673-7973,24 Elgin Street,Sudbury,ON ,P3C 5B4,yoga
Organic Bodies Pilates Yoga & Sensual Fitness,www.7056916750.yp.ca,,705-691-6750,1696 Regent Street,Sudbury,ON ,P3E 3Z8,yoga
Core Studio Wellness Centre,www.barriecorewellness.ca,,705-719-7197,21 Commerce Park Drive,Barrie,ON ,L4N 8X1,yoga
After School Karate,www.barriekarate.com,,705-721-9918,556 Bryne Drive,Barrie,ON ,L4N 9P6,yoga
Yoga Hall,www.7057254844.yp.ca,,705-725-4844,7 Burton Avenue,Barrie,ON ,L4N 2R3,yoga
Simply Yoga,www.7057260844.yp.ca,,705-726-0844,172 Taylor Drive,Barrie,ON ,L4N 8L1,yoga
All Round Health & Fitness,www.allroundhealthandfitness.ca,,705-728-0624,110 Anne Street South,Barrie,ON ,L4N 2E3,yoga
Anderson Chiropractic Group,www.andersonchiropracticgroup.com,,705-734-9520,300 Lakeshore Drive,Barrie,ON ,L4N 0B4,yoga
Balanced Body Pilates & Yoga Studio,www.7057352910.yp.ca,,705-735-2910,206 Bradford Street,Barrie,ON ,L4N 3B6,yoga
Earth & Sky Connection,www.earthandskyconnection.com,,705-739-0171,461 Penetanguishene Road,Barrie,ON ,L4M 4Y8,yoga
Yellow House,www.7057400192.yp.ca,,705-740-0192,553 Harvey Street,Peterborough,ON ,K9H 3K8,yoga
Humanistic Yoga Centre,www.7057457727.yp.ca,,705-745-7727,172 Brock Street,Peterborough,ON ,K9H 2P4,yoga
Rubidge Retirement Residence,www.retirementlivingcentres.com,,705-748-4000,246-270 Rubidge Street,Peterborough,ON ,K9J 3P2,yoga
Body Essentials Massage Therapy Health & Lifestyle Services,www.7057495856.yp.ca,,705-749-5856,6 Bayleaf Court,Peterborough,ON ,K9K 1A3,yoga
Nelson Linda,www.7057550269.yp.ca,msjohnson@on.aibn.com,705-755-0269,90 Hunter Street East,Peterborough,ON ,K9H 1G5,yoga
Motivations Fitness Huntsville,www.7057899435.yp.ca,,705-789-9435,59 Main Street East,Huntsville,ON ,P1H 2B8,yoga
YogaRoom,www.7057925960.yp.ca,,705-792-5960,44 Dunlop Street East,Barrie,ON ,L4M 1A3,yoga
Willow Yoga Studio,www.thewillowyogastudio.com,,705-792-6011,1130 St Vincent,Midhurst,ON ,L0L 1X1,yoga
Studio 505 Home of the Arts,www.studio505.ca,,705-876-9505,505 Sherbrooke Street,Peterborough,ON ,K9J 2P2,yoga
Path to Stillness Yoga Studio,www.pathtostillness.ca,,705-878-1212,204-55 Mary Street West,Lindsay,ON ,K9V 5Z6,yoga
Bodymind Centre The,www.8073441628.yp.ca,,807-344-1628,8-105 Villa Street,Thunder Bay,ON ,P7A 7W5,yoga
Naturopathic Medical Healing Centre,www.drlynn.ca,,807-345-5977,4-215 Van Norman Street,Thunder Bay,ON ,P7A 4B6,yoga
Resting Frog Yoga Studio,www.restingfrogyoga.com,,807-346-7662,18-4A Court Street South,Thunder Bay,ON ,P7B 2W4,yoga
Athletic Club The,www.theathleticclubs.ca,,807-623-6223,1185 Arthur Street West,Thunder Bay,ON ,P7E 6E2,yoga
Relais Yoga,www.8195959001.yp.ca,,819-595-9001,397 Bd de la Cite des Jeunes,Ottawa,QC,,yoga
Le Nordik-Nature Spa,www.lenordik.com,,819-827-1111,16,Chemin Nordik,Che,Chelsea,yoga
Ashgrove Family Massage Therapy Inc,www.ashgrovefamilymassage.com,,905-201-2816,6633 Hwy 7,Markham,ON ,L3P 7P2,yoga
Markville Fitness Centre,www.markvillefitness.com,,905-209-0763,190 Bullock Drive,Markham,ON ,L3P 7N3,yoga
Triangle Physiotherapy & Rehabilitation Oakville,www.trianglephysiotherapy.com,,905-257-3334,2501 Prince Michael Drive,Oakville,ON ,L6H 0E9,yoga
SoulSpace Physical Therapy,www.soulspace.ca,,905-257-5252,2460 Neyagawa Bl,Oakville,ON ,L6H 7P4,yoga
MedRehab Group Inc,www.medrehabgroup.com,,905-264-6311,8333 Weston Road,Woodbridge,ON ,L4L 8E2,yoga
Blue Door Yoga Room,www.bluedooryoga.com,,905-265-2400,5451 Hwy 7,Woodbridge,ON ,L4L 0B2,yoga
Hot Yoga Wellness,www.9052660894.yp.ca,,905-266-0894,28 Roytec Road,Woodbridge,ON ,L4L 8E4,yoga
Moksha Yoga Mississauga,www.9052709642.yp.ca,,905-270-9642,1077 North Service Road,Mississauga,ON ,L4Y 1A6,yoga
Free Spirit Yoga,www.9052747309.yp.ca,,905-274-7309,333 Willa Road,Mississauga,ON ,L5G 2H1,yoga
Fitness Institute,www.fitnessinstitute.com,,905-275-0610,2021 Cliff Road,Mississauga,ON ,L5A 3N7,yoga
Wynn Fitness Clubs,www.fitnessclubsofcanada.com,,905-276-0040,1590 Dundas Street East,Mississauga,ON ,L4X 2Z2,yoga
All Canadian Martial Arts Academy,www.allcanadianmartialarts.com,mail@allcanadiankarate.com,905-277-0667,2459 Dixie Road,Mississauga,ON ,L4Y 2A1,yoga
Infinite Yoga,www.9052771108.yp.ca,,905-277-1108,4870 Tomken Road,Mississauga,ON ,L4W 1J8,yoga
Leewi Yoga,www.9052781118.yp.ca,,905-278-1118,170 Lakeshore Road West,Mississauga,ON ,L5H 1G1,yoga
Dahn Yoga Centre,www.9052813467.yp.ca,,905-281-3467,2395 Cawthra Road,Mississauga,ON ,L5A 2W8,yoga
Holistic Body Worx Pilates Yoga & Wellness Studio,www.9052813737.yp.ca,,905-281-3737,4259 Sherwoodtowne Boulevard,Mississauga,ON ,L4Z 1Y5,yoga
Balance Of Life Martial Arts Inc,www.9053030156.yp.ca,,905-303-0156,8-10175 Keele Street,Maple,ON ,L6A 3Y9,yoga
Heron Creek Personal Training & Yoga,www.heroncreek.ca,,905-304-5387,954 Alberton Rd S,Ancaster,ON ,L0R 1R0,yoga
Asia Shin Yoga Studio,www.yogawithasia.com,,905-319-5528,1072 Westhaven Drive,Burlington,ON ,L7P 5B5,yoga
Highway To Health,www.highwaytohealth.ca,,905-332-6190,2025 William O'Connell Boulevard,Burlington,ON ,L7M 4E4,yoga
Contours Express,www.9053330112.yp.ca,,905-333-0112,5014 New Street,Burlington,ON ,L7L 1V1,yoga
Burlington Fitness & Racquet Club,www.burlingtonfitness.ca,christine@burlingtonfitness.ca,905-335-3597,1233 Dillon Road,Burlington,ON ,L7M 1K6,yoga
Serenity Valley Studios,www.9053359591.yp.ca,,905-335-9591,2640 No 8 Side Rd,Burlington,ON ,L9T 2X6,yoga
Creating Space Yoga,www.9053373598.yp.ca,,905-337-3598,594 Chartwell Road,Oakville,ON ,L6J 4A5,yoga
Rosewater Spa Of Oakville,www.rosewaterspa.com,,905-338-7724,156 Church Street,Oakville,ON ,L6J 1M9,yoga
Yoga For Fitness Centre,www.9053539642.yp.ca,,905-353-9642,4755 First Avenue,Niagara Falls,ON ,L2E 4G6,yoga
Fusion Wellness Studio,www.9053729191.yp.ca,,905-372-9191,9 Elgin E,Cobourg,ON ,K9A 1A1,yoga
Willmott Therapeutics,www.9053778360.yp.ca,,905-377-8360,210 Willmott,Cobourg,ON,,yoga
Mind Body Connection,www.mbcstudios.com,,905-383-4441,5-205 Nebo Road,Hamilton,ON ,L8W 2E1,yoga
Body/ Mind/ Life/ Yoga & Wellness Centre,www.9053835660.yp.ca,,905-383-5660,696 Concession Street,Hamilton,ON ,L8V 1C1,yoga
Friends in Fitness Womens Club,www.9053850820.yp.ca,,905-385-0820,624 Upper James Street,Hamilton,ON ,L9C 2Z1,yoga
Hamilton Yoga Institute The,www.9053884356.yp.ca,,905-388-4356,1119 Fennell Avenue East,Hamilton,ON ,L8T 1S2,yoga
Studio PAVAS Performing & Visual Arts School,www.9054039435.yp.ca,,905-403-9435,2301 Royal Windsor Drive,Mississauga,ON ,L5J 1K5,yoga
Body Boomers Fitness Club,www.9054042639.yp.ca,,905-404-2639,1615 Dundas Street East,Whitby,ON ,L1N 2L1,yoga
YOGA The COnference And SHow,www.9054049642.yp.ca,,905-404-9642,967 Catskill Drive,Oshawa,ON ,L1J 8N7,yoga
Art Of Living Yoga & Wellness Centre,www.9054059642.yp.ca,,905-405-9642,1510 Drew Road,Mississauga,ON ,L5S 1W7,yoga
P3 Yoga & Pilates,www.9054098861.yp.ca,,905-409-8861,156-1895 Clements Road,Pickering,ON ,L1W 3V5,yoga
Hot Yoga,www.9054261998.yp.ca,,905-426-1998,377 Mackenzie Avenue,Ajax,ON ,L1S 2G2,yoga
Durham Homeopathy And Family Wellness Centre,www.9054263730.yp.ca,,905-426-3730,226 Harwood Avenue South,Ajax,ON ,L1S 2H6,yoga
Wellness Connection The,www.wellness-connection.ca,,905-426-8503,360 Bayly Street West,Ajax,ON ,L1S 1P1,yoga
Balanced Life Yoga Inc,www.9054282300.yp.ca,,905-428-2300,235 Salem S,Ajax,ON ,L1Z 2C9,yoga
Moonstone Healing Arts,www.9054290257.yp.ca,,905-429-0257,1617 Ovens Rd Newtonville,Ontario,Osh,,yoga
Harmony Health Yoga,www.9054329828.yp.ca,,905-432-9828,231 King Street East,Oshawa,ON ,L1H 1C5,yoga
The Yoga Room,www.9054397500.yp.ca,,905-439-7500,173 Brock Street North,Whitby,ON ,L1N 4H3,yoga
Academy Of Martial Arts,www.9054509927.yp.ca,,905-450-9927,13 Fisherman Drive,Brampton,ON ,L7A 2X9,yoga
5 Elements Yoga & Pilates Inc,www.5elementsyoga.com,,905-451-9642,57 Mill S N U 301,Brampton,ON ,L6X 1T1,yoga
Dahn Yoga,www.9054533700.yp.ca,,905-453-3700,110 Brickyard Way,Brampton,ON ,L6V 4N1,yoga
Fitness Plus Women's Wellness,www.fitnesspluscanada.com,,905-457-5211,160 Main Street South,Brampton,ON ,L6W 2E1,yoga
Yoga Loft & Pilates,www.9054581114.yp.ca,,905-458-1114,8500 Torbram Road,Brampton,ON ,L6T 5C6,yoga
Sun Yoga Inc,www.9054693309.yp.ca,,905-469-3309,785 Pacific Road,Oakville,ON ,L6L 6M3,yoga
Club Markham,www.clubmarkham.ca,,905-470-2400,8500 Warden Avenue,Markham,ON ,L6G 1A5,yoga
Yoga Moksha Yoga Markham,www.9054749642.yp.ca,,905-474-9642,5051 7 Hy,Unionville,ON ,L3R 1N3,yoga
Fab Your Life,www.fabyourlife.com,,905-475-5433,620 Alden Road,Markham,ON ,L3R 9R7,yoga
Montessori North School,www.montessorinorth.ca,,905-475-9341,4561 Hwy 7,Markham,ON ,L3R 1M4,yoga
Beams Of Light Studio,www.9055207932.yp.ca,,905-520-7932,1304 Hwy 8,Stoney Creek,ON ,L8E 5K5,yoga
Andrea Soos Yoga Studio,www.andreasoosyoga.com,,905-523-9310,1685 Main Street West,Hamilton,ON ,L8S 1G5,yoga
Rae Jenny RMT,www.9055245437.yp.ca,,905-524-5437,331 Herkimer Street,Hamilton,ON ,L8P 2J2,yoga
Yoga With Ona,www.yogawithona.ca,,905-525-2527,74 Locke Street North,Hamilton,ON ,L8R 3A5,yoga
Ashtanga Yoga,www.9055277232.yp.ca,ashtangayoga@bellnet.ca,905-527-7232,Tansley Woods Rec Centre,Burlington,ON ,L7M 4J8,yoga
Hamilton Conservatory For The Arts,www.9055284020.yp.ca,,905-528-4020,126 James Street South,Hamilton,ON ,L8P 2Z4,yoga
De La Sol Yoga Studios,www.delasolyoga.com,,905-540-3569,430 York Boulevard,Hamilton,ON ,L8R 3K8,yoga
Advantage Chiropractic and Massage,www.9055475393.yp.ca,,905-547-5393,59 Dunsmure Road,Hamilton,ON ,L8M 1S1,yoga
Holistic Yoga & Meditation,www.9055650020.yp.ca,,905-565-0020,6980 Maritz Dr,Malton,ON ,L5W 1Z3,yoga
Stars Fitness & Gymnastics,www.9055769517.yp.ca,,905-576-9517,340 Marwood Drive,Oshawa,ON ,L1H 8B4,yoga
Academy Of Martial Arts Port Credit,www.dojoworld.ca,karateinfo@on.aibn.com,905-593-2606,108 Lakeshore Road East,Mississauga,ON ,L5G 1E3,yoga
Genesis Massage Therapy Centre,www.genesismassage.ca,,905-607-0262,3300 Ridgeway Drive,Mississauga,ON ,L5L 5Z9,yoga
Mirena's Fashions,www.9056081800.yp.ca,,905-608-1800,2219 Dunwin Drive,Mississauga,ON ,L5L 1X1,yoga
Livewithspirit.ca,www.9056201151.yp.ca,,905-620-1151,75 Baldwin Street,Whitby,ON ,L1M 1A3,yoga
Bowmanville Massage Therapy,www.bowmanvillemassagetherapy.ca,,905-623-4328,54 King Street East,Bowmanville,ON ,L1C 1N3,yoga
Highland Physiotherapy Associates,www.9056285518.yp.ca,,905-628-5518,30 York Street,Dundas,ON ,L9H 1L2,yoga
Body Therapies & Yoga Training,www.9056286463.yp.ca,,905-628-6463,14 Bendemeer Street,Dundas,ON ,L9H 3P1,yoga
Je Spa House Of Beauty & Wellness,www.jespa.ca,,905-631-2951,612 Brant,Burlington,ON ,L7R 2G9,yoga
Moksha Yoga Burlington,www.9056319595.yp.ca,,905-631-9595,676 Appleby Line,Burlington,ON ,L7L 5Y1,yoga
Fitness Firm,www.thefitnessfirm.ca,,905-637-9220,15 Plains Road West,Burlington,ON ,L7T 1E8,yoga
Four Forty Fitness For Women,www.9056391440.yp.ca,,905-639-1440,440 Pearl Street,Burlington,ON ,L7R 2N1,yoga
Yoga Centre The,www.yogaburlington.ca,Email: nesta@worldchat.com,905-639-6138,541 Brant Street,Burlington,ON ,L7R 2G6,yoga
Moksha Yoga,www.9056407700.yp.ca,,905-640-7700,6128 Main,Stouffville,ON ,L4A 1A6,yoga
Mademoiselle Women's Fitness & Day Spa,www.9056418858.yp.ca,,905-641-8858,221 Glendale Avenue,St Catharines,ON ,L2T 2K9,yoga
Shavasana Yoga Centre,www.9056486614.yp.ca,,905-648-6614,382 1/2 Wilson Street East,Ancaster,ON ,L9G 2C2,yoga
Brooklin Mill Montessori School,www.brooklinmillmontessori.ca,,905-655-0656,25 Cassels Road East,Brooklin,ON ,L1M 1A4,yoga
Hot Yoga Wellness,www.9056608880.yp.ca,,905-660-8880,1750 Steeles Avenue West,Concord,ON ,L4K 2L7,yoga
Calming Fx,www.9056654848.yp.ca,,905-665-4848,3-413 Dundas Street East,Whitby,ON ,L1N 2J2,yoga
Hands On Health Care Massage Therapy,www.9056661393.yp.ca,,905-666-1393,617 Brock Street South,Whitby,ON ,L1N 4L1,yoga
Mom And Baby Depot,www.9056662229.yp.ca,,905-666-2229,207 Dundas Street West,Whitby,ON ,L1N 2M4,yoga
Greater Durham Jiu-Jitsu,www.9056669392.yp.ca,,905-666-9392,1121 Dundas Street East,Whitby,ON ,L1N 2K4,yoga
Dahn Yoga,www.9056817215.yp.ca,,905-681-7215,3505 Upper Middle Road,Burlington,ON ,L7M 4C6,yoga
Yoga By Sarah,www.yogabysarah.com,,905-682-4469,20 Grote Street,St Catharines,ON ,L2N 2E7,yoga
Dance Inc,www.danceinc.ca,,905-683-1269,845 Westney Road South,Ajax,ON ,L1S 3M4,yoga
Impulse Fitness,www.9056839300.yp.ca,,905-683-9300,2200 Brock Road,Pickering,ON ,L1X 2R2,yoga
Hardcore Fitness,www.9056850348.yp.ca,,905-685-0348,43 Niagara Street,St Catharines,ON ,L2R 4K8,yoga
Healing Hands Health Care RMT,www.9056860550.yp.ca,,905-686-0550,103 Old Kingston Road,Ajax,ON ,L1T 3A6,yoga
Village Yogalates,www.9056866630.yp.ca,,905-686-6630,73 Old Kingston Road,Ajax,ON ,L1T 3A6,yoga
The Club At White Oaks,www.9056886800.yp.ca,,905-688-6800,253 Taylor Rd Niagara On The Lake,Niagara On The Lake,ON ,L0S 1J0,yoga
Circle Of Light Wellness Centre,www.9056898100.yp.ca,,905-689-8100,50 Mill St N,Waterdown,ON ,L0R 2H0,yoga
Clarington Martial Arts,www.claringtonmartialarts.com,,905-697-1473,160 Church Street,Bowmanville,ON ,L1C 1T6,yoga
Jager Optimal Yoga,www.9056972597.yp.ca,,905-697-2597,57 & Hwy 2,Bowmanville,ON ,L1C 4R7,yoga
Body Boomers,www.9056972639.yp.ca,,905-697-2639,164 Baseline Road East,Bowmanville,ON ,L1C 1A2,yoga
Move Activity & Motion Clinic,www.9057021072.yp.ca,,905-702-1072,116 Guelph Street,Georgetown,ON ,L7G 4A3,yoga
Ultimate Women's Fitness Studio,www.9057147801.yp.ca,,905-714-7801,225 East Main Street,Welland,ON ,L3B 3W7,yoga
NRG Fitness Centre,www.nrgfitnesscentre.com,,905-720-2111,69 Taunton Road West,Oshawa,ON ,L1G 7B4,yoga
Healing Harmony For Yoga & The Healing Arts,www.healingharmony.ca,,905-721-8488,452 Elizabeth Street,Oshawa,ON ,L1J 5T1,yoga
Body Boomers Fitness Club,www.9057252639.yp.ca,,905-725-2639,600 Grandview Street South,Oshawa,ON ,L1H 8P4,yoga
Finesse Studio For Woman,www.finessestudio.com,,905-726-1007,15222 Yonge Street,Aurora,ON ,L4G 1L9,yoga
Fitness Clubs Of Canada,www.fitnessclubsofcanada.com,,905-727-1100,14751 Yonge Street,Aurora,ON ,L4G 1N1,yoga
Pathways Canada The School Of Complete Yoga,www.9057276223.yp.ca,,905-727-6223,1229 King,Aurora,ON ,L7B 1K5,yoga
injoy Yoga & Activewear Inc,www.9057278419.yp.ca,,905-727-8419,15263 Yonge Street,Aurora,ON ,L4G 1N5,yoga
Galaxy 2000 Health Studio,www.9057351804.yp.ca,,905-735-1804,454 McAlpine Avenue North,Welland,ON ,L3B 1T3,yoga
The Art Of Living Canada,www.9057559642.yp.ca,,905-755-9642,5715 Coopers Avenue,Mississauga,ON ,L4Z 2C7,yoga
Stratusphere Yoga,www.9057609642.yp.ca,,905-760-9642,255 Bass Pro Mills Dr,Thornhill,ON ,L4K 0A2,yoga
Bikram Yoga Richmond Hill,www.9057704646.yp.ca,,905-770-4646,676 Major Mackenzie Drive East,Richmond Hill,ON ,L4C 1J9,yoga
Shanti Yoga Studio,www.9057779642.yp.ca,,905-777-9642,344 Main Street West,Hamilton,ON ,L8P 1J9,yoga
Premier Martial Arts,www.9057779663.yp.ca,,905-777-9663,1175 Wilson Street East,Hamilton,ON ,L8S 4K6,yoga
Exhale Spa & Salon,www.exhalespa.ca,exhalespa@bellnet.ca,905-778-1431,281 Barrie,Bradford,ON ,L3Z 2A7,yoga
Datta Yoga Centre,www.9057903645.yp.ca,,905-790-3645,173 Advance Boulevard,Brampton,ON ,L6T 4Z7,yoga
Spirit Of Movement,www.9058159266.yp.ca,,905-815-9266,Maplegrove Rd,Oakville,ON ,L6M 3B4,yoga
Wellness Direct,www.9058220044.yp.ca,,905-822-0044,1412 Bridgestone Lane,Mississauga,ON ,L5J 4E2,yoga
Premier Martial Arts,www.9058258025.yp.ca,,905-825-8025,212 Wyecroft Rd,Oakville,ON ,L6K 3T9,yoga
Yoga Oakville,www.9058293443.yp.ca,,905-829-3443,2640 Bristol Circle,Oakville,ON ,L6H 6Z7,yoga
Yoga Source & Therapy Studio,www.9058309700.yp.ca,,905-830-9700,16925 Yonge Street,Newmarket,ON ,L3Y 5Y1,yoga
Moksha Yoga Pickering,www.9058314888.yp.ca,,905-831-4888,1099 Kingston Road,Pickering,ON ,L1V 1B5,yoga
Great Central Sun Naturopathic Clinic & Healing Arts Center,www.greatcentralsun.com,,905-833-3440,225 King Summit Road,King City,ON ,L7B 1A3,yoga
Quality Care Sports Injury & Rehab,www.qualitycaresi.ca,,905-842-1707,418-1C North Service Rd E,Oakville,ON ,L6H 5R2,yoga
Flying Monkey Yoga (The),www.9058429642.yp.ca,,905-842-9642,355 Iroquois Shore Road,Oakville,ON ,L6H 1M3,yoga
Bambu Pilates,www.bambupilates.com,,905-844-4044,507 Speers Road,Oakville,ON ,L6K 2G4,yoga
Academy of Martial Arts-Rising Sun,www.risingsunoakville.ca,,905-844-8033,1304 Speers Road,Oakville,ON ,L6L 2X4,yoga
Casa Dei Bambini Montessori,www.9058518837.yp.ca,,905-851-8837,661 Chrislea Road,Woodbridge,ON ,L4L 0C4,yoga
OM Yoga Shala & Holistic Centre,www.9058519512.yp.ca,,905-851-9512,396B Chrislea Road,Woodbridge,ON ,L4L 8A8,yoga
Balanced Life Yoga,www.9058522782.yp.ca,,905-852-2782,62 Brock Street West,Uxbridge,ON ,L9P 1P3,yoga
Body Fit Health Club,www.bodyfit.ca,,905-852-6175,141 Reach Street,Uxbridge,ON ,L9P 1L3,yoga
Olive Tree Yoga And Pilates Studio,www.9058569642.yp.ca,,905-856-9642,1160 Clarence,Woodbridge,ON ,L4L 2V3,yoga
Joy Of Yoga,www.9058571866.yp.ca,,905-857-1866,12612 Hwy 50,Bolton,ON ,L7E 1T6,yoga
Sari Yoga Centre,www.9058585948.yp.ca,,905-858-5948,168 Queen Street South,Mississauga,ON ,L5M 1K8,yoga
Vitality Centre,www.9058647200.yp.ca,,905-864-7200,917 Nipissing Road,Milton,ON ,L9T 5E3,yoga
Instep Activewear Inc,www.9058760320.yp.ca,,905-876-0320,885 Main E,Milton,ON ,L9T 5A7,yoga
Inner Sanctum,www.innersanctum.ca,,905-876-0551,400 Main Street East,Milton,ON ,L9T 4X5,yoga
Medrehab Group Inc,www.medrehabgroup.com,,905-877-5900,99 Sinclair Avenue,Georgetown,ON ,L7G 5G1,yoga
Moksha Yoga Richmond Hill,www.9058810010.yp.ca,,905-881-0010,1455 16th Avenue,Richmond Hill,ON ,L4B 4W5,yoga
Pilates North,www.9058821442.yp.ca,,905-882-1442,6 Scott Drive,Richmond Hill,ON ,L4C 6V6,yoga
Yoga Tree,www.9058828733.yp.ca,,905-882-8733,1416 Centre Street,Thornhill,ON ,L4J 8A1,yoga
Yoga Tree Rh Inc,www.yogatree.ca,,905-882-9642,1-360 Highway 7 East,Richmond Hill,ON ,L4B 3Y7,yoga
Stretch Yoga Studio,www.stretch-yoga.com,,905-889-9642,2 Essex Avenue,Thornhill,ON ,L3T 3Y8,yoga
Elizabeth's Spa,www.9058915757.yp.ca,,905-891-5757,111-A Lakeshore E,Port Credit,ON,,yoga
Kuppek Monika RMT,www.9058926200.yp.ca,,905-892-6200,165 20 Hwy W,Fonthill,ON ,L0S 1E5,yoga
Joy Of Health Naturopathic Clinic The,www.thejoyofhealth.net,,905-893-4350,855 Nashville Road RR 1,Kleinburg,ON ,L0J 1C0,yoga
Persechini Fitness & Squash Complex,www.persechinifitness.ca,,905-898-1861,77 Davis Drive,Newmarket,ON ,L3Y 2M9,yoga
Balance Yoga Studio.ca,www.balanceyogastudio.ca,,905-936-9642,13 Queen N Tottenham,Tottenham,ON ,L0G 1W0,yoga
Transitions Studio,www.transitionstudio.ca,,905-937-1623,244 Grantham Avenue,St Catharines,ON ,L2M 4Z4,yoga
1786442 Every Day Well Being,www.9059389355.yp.ca,,905-938-9355,17 Lock Street,St Catharines,ON ,L2N 5B6,yoga
BodyBe Yoga & Pilates Wellness Studio,www.9059499642.yp.ca,,905-949-9642,108 Agnes Street,Mississauga,ON ,L5B 1K1,yoga
Lifestyles Wellness Spa & Fitness Center,www.lifestylesspafitness.com,,905-953-8088,1180 Stellar Drive,Newmarket,ON ,L3Y 7B9,yoga
Fit City,www.fitcity.com,,905-953-9391,1095 Stellar Drive,Newmarket,ON ,L3Y 7B8,yoga
Medrehab Group,www.medrehabgroup.com,,905-970-0101,380 Bovaird Dr E,Brampton,ON ,L6Z 2S8,yoga
